protein1	protein2	combined_score
GENE_0130	GENE_0133	799
GENE_0075	GENE_0044	240
MEN1	GENE_0116	235
GENE_0034	GENE_0009	697
GENE_0056	GENE_0152	694
GENE_0182	SMAD4	805
GENE_0016	GENE_0087	353
NBN	BARD1	990
GENE_0090	APC	173
MUTYH	GENE_0102	329
GENE_0194	NF1	189
GENE_0178	GENE_0180	155
RAD51C	GENE_0068	810
BRCA1	GENE_0024	921
GENE_0048	NF1	600
GENE_0024	GENE_0144	499
MLH1	GENE_0133	189
GENE_0006	MSH2	736
GENE_0043	GENE_0155	711
GENE_0129	GENE_0190	417
RAD51C	GENE_0082	527
GENE_0017	FANCD2	473
GENE_0163	GENE_0051	223
GENE_0013	GENE_0180	337
GENE_0113	GENE_0023	701
GENE_0014	GENE_0134	444
GENE_0009	GENE_0026	330
GENE_0082	GENE_0112	292
GENE_0015	GENE_0188	905
GENE_0195	GENE_0048	471
GENE_0151	GENE_0165	977
GENE_0194	GENE_0027	595
GENE_0145	GENE_0091	645
GENE_0080	TSC2	591
GENE_0048	GENE_0107	317
GENE_0107	GENE_0085	892
MEN1	BARD1	343
GENE_0091	GENE_0069	553
GENE_0125	GENE_0076	592
GENE_0112	GENE_0126	424
NF2	GENE_0090	765
GENE_0053	GENE_0147	279
GENE_0078	GENE_0026	331
GENE_0107	GENE_0139	192
GENE_0063	GENE_0131	724
GENE_0019	GENE_0179	524
MEN1	GENE_0092	789
GENE_0101	GENE_0081	722
GENE_0181	GENE_0169	164
GENE_0115	GENE_0030	457
GENE_0133	GENE_0030	325
GENE_0042	GENE_0098	472
TP53	GENE_0175	887
BRIP1	GENE_0016	253
GENE_0060	GENE_0030	781
GENE_0131	GENE_0109	323
GENE_0000	GENE_0168	181
GENE_0116	GENE_0006	269
GENE_0188	FANCD2	480
GENE_0025	VHL	692
GENE_0189	GENE_0175	975
GENE_0046	CDH1	377
GENE_0175	GENE_0095	779
GENE_0129	GENE_0066	914
GENE_0119	GENE_0087	506
GENE_0167	GENE_0190	508
MLH1	GENE_0075	531
GENE_0133	GENE_0128	897
GENE_0079	GENE_0042	778
GENE_0082	GENE_0130	150
GENE_0182	GENE_0146	229
GENE_0019	GENE_0023	374
GENE_0001	GENE_0126	165
GENE_0187	ATM	959
GENE_0170	GENE_0160	486
GENE_0137	GENE_0165	657
GENE_0042	GENE_0099	757
BRCA1	NF2	472
GENE_0088	BARD1	719
GENE_0035	GENE_0023	591
GENE_0073	GENE_0195	775
GENE_0019	GENE_0176	162
GENE_0194	GENE_0005	456
GENE_0065	GENE_0186	666
GENE_0093	GENE_0052	180
GENE_0084	GENE_0114	177
GENE_0168	NF1	730
NF2	NF1	727
SMAD4	GENE_0012	421
FANCA	GENE_0174	991
GENE_0094	GENE_0064	394
GENE_0113	FANCD2	400
GENE_0178	GENE_0014	394
GENE_0004	GENE_0073	989
GENE_0161	GENE_0053	433
GENE_0126	GENE_0170	869
GENE_0043	GENE_0068	909
GENE_0105	GENE_0003	478
GENE_0188	GENE_0140	438
GENE_0115	BRCA2	540
GENE_0093	GENE_0034	889
GENE_0160	GENE_0024	778
GENE_0115	GENE_0132	980
GENE_0108	GENE_0039	753
GENE_0166	GENE_0006	649
GENE_0164	GENE_0027	157
GENE_0011	GENE_0057	626
GENE_0020	GENE_0188	619
GENE_0168	GENE_0186	480
GENE_0049	GENE_0091	840
GENE_0043	GENE_0051	210
GENE_0199	GENE_0044	356
GENE_0185	GENE_0013	717
GENE_0090	GENE_0004	782
GENE_0179	GENE_0008	287
GENE_0129	GENE_0170	413
GENE_0147	MLH1	823
GENE_0101	GENE_0125	340
GENE_0152	GENE_0004	873
GENE_0020	GENE_0064	680
GENE_0025	GENE_0147	403
GENE_0156	GENE_0152	917
GENE_0073	GENE_0185	794
GENE_0088	CHEK2	924
GENE_0038	GENE_0064	889
GENE_0103	GENE_0168	513
GENE_0011	GENE_0004	511
GENE_0088	GENE_0015	174
GENE_0080	GENE_0033	231
GENE_0137	NF2	964
GENE_0053	STK11	952
GENE_0173	GENE_0124	953
GENE_0144	GENE_0026	749
NF1	GENE_0120	667
GENE_0075	MSH2	578
GENE_0180	GENE_0026	179
EPCAM	GENE_0115	192
EPCAM	GENE_0198	633
BRCA2	GENE_0090	331
GENE_0189	GENE_0165	240
GENE_0142	GENE_0128	800
GENE_0044	GENE_0123	262
GENE_0195	GENE_0135	160
GENE_0088	GENE_0146	168
GENE_0024	GENE_0050	834
GENE_0038	GENE_0062	332
GENE_0174	GENE_0067	689
GENE_0167	GENE_0183	351
GENE_0107	GENE_0178	598
TSC2	RAD51D	660
GENE_0178	GENE_0064	167
GENE_0199	GENE_0080	356
GENE_0105	GENE_0095	571
GENE_0190	GENE_0000	240
GENE_0051	GENE_0006	544
NBN	GENE_0098	299
GENE_0075	GENE_0087	157
GENE_0152	GENE_0136	157
GENE_0131	GENE_0124	763
GENE_0045	GENE_0156	772
BRCA1	GENE_0018	362
GENE_0041	GENE_0087	430
GENE_0116	GENE_0127	814
GENE_0000	GENE_0017	590
GENE_0097	GENE_0195	771
GENE_0159	GENE_0030	898
GENE_0131	GENE_0067	608
RAD51C	GENE_0165	327
GENE_0094	GENE_0011	971
GENE_0141	GENE_0193	355
GENE_0125	ATM	385
GENE_0144	GENE_0056	649
RECQL	GENE_0005	269
GENE_0128	PALB2	359
MUTYH	GENE_0146	958
GENE_0147	GENE_0109	596
TSC2	MEN1	699
GENE_0084	GENE_0071	774
GENE_0135	FANCD2	586
GENE_0081	GENE_0031	165
GENE_0164	GENE_0037	356
GENE_0050	GENE_0092	757
GENE_0106	GENE_0113	737
GENE_0138	GENE_0167	586
GENE_0066	GENE_0112	463
GENE_0095	GENE_0145	760
GENE_0139	GENE_0013	589
GENE_0160	GENE_0085	705
GENE_0163	GENE_0070	820
RAD51C	GENE_0007	154
GENE_0142	GENE_0007	678
GENE_0122	GENE_0167	531
PALB2	GENE_0188	152
GENE_0159	GENE_0058	211
GENE_0087	GENE_0005	447
GENE_0179	GENE_0160	722
GENE_0042	GENE_0025	173
GENE_0008	GENE_0028	866
GENE_0176	GENE_0116	365
BRCA2	GENE_0122	396
GENE_0038	GENE_0013	157
GENE_0167	GENE_0194	563
GENE_0071	GENE_0054	374
GENE_0019	GENE_0076	158
BRCA1	GENE_0059	440
GENE_0072	GENE_0191	152
GENE_0121	GENE_0190	511
GENE_0125	GENE_0191	570
GENE_0030	GENE_0179	583
GENE_0149	GENE_0163	997
GENE_0046	BRCA2	346
GENE_0154	GENE_0020	953
GENE_0133	GENE_0149	441
GENE_0040	GENE_0007	603
GENE_0109	GENE_0166	578
BRCA1	GENE_0134	383
NF1	GENE_0199	812
GENE_0175	GENE_0133	840
GENE_0060	GENE_0007	164
GENE_0058	GENE_0098	878
GENE_0027	GENE_0098	568
GENE_0164	GENE_0140	204
EPCAM	GENE_0018	649
GENE_0015	NBN	356
CDH1	GENE_0084	322
GENE_0100	GENE_0098	550
GENE_0061	RAD51D	213
GENE_0166	GENE_0199	570
GENE_0140	GENE_0171	305
GENE_0161	GENE_0032	228
GENE_0002	GENE_0009	395
GENE_0085	GENE_0105	197
GENE_0103	GENE_0154	794
CHEK2	RET	935
GENE_0090	GENE_0193	395
GENE_0188	GENE_0066	814
GENE_0094	GENE_0019	549
GENE_0168	GENE_0123	406
GENE_0094	GENE_0041	276
GENE_0031	FANCA	225
GENE_0067	GENE_0006	734
GENE_0004	GENE_0085	786
GENE_0155	GENE_0131	433
GENE_0138	GENE_0066	575
GENE_0098	GENE_0012	656
GENE_0030	GENE_0076	432
GENE_0017	GENE_0152	548
GENE_0184	GENE_0081	151
GENE_0189	GENE_0132	405
GENE_0020	GENE_0193	163
GENE_0110	GENE_0025	824
GENE_0104	GENE_0146	565
GENE_0079	GENE_0135	457
GENE_0010	GENE_0020	791
GENE_0008	GENE_0127	369
GENE_0166	GENE_0028	815
GENE_0140	GENE_0124	737
GENE_0136	BRIP1	608
GENE_0021	BRIP1	742
GENE_0132	GENE_0012	199
FANCD2	GENE_0158	954
GENE_0075	GENE_0061	458
GENE_0143	GENE_0184	665
GENE_0184	GENE_0091	531
GENE_0016	GENE_0119	307
GENE_0183	GENE_0161	170
GENE_0029	GENE_0150	596
GENE_0117	GENE_0121	835
GENE_0096	GENE_0073	380
GENE_0018	PTEN	963
GENE_0094	GENE_0189	549
GENE_0056	NBN	266
TSC2	GENE_0085	220
GENE_0016	GENE_0085	174
GENE_0088	GENE_0011	184
GENE_0080	GENE_0143	840
FANCA	GENE_0148	638
GENE_0137	VHL	694
NBN	GENE_0042	514
GENE_0098	GENE_0011	547
GENE_0119	GENE_0150	757
GENE_0179	GENE_0134	317
TSC1	GENE_0153	441
GENE_0144	GENE_0167	950
GENE_0075	GENE_0169	442
GENE_0075	GENE_0172	559
GENE_0128	RET	432
GENE_0039	GENE_0177	183
GENE_0159	GENE_0097	997
MLH1	GENE_0181	556
NF1	GENE_0105	489
GENE_0162	GENE_0197	995
GENE_0065	GENE_0001	953
GENE_0078	GENE_0122	327
GENE_0021	GENE_0135	167
GENE_0117	NBN	193
GENE_0132	GENE_0065	586
GENE_0176	GENE_0068	881
GENE_0117	GENE_0030	569
GENE_0168	ATM	707
GENE_0065	CDH1	599
GENE_0005	GENE_0152	447
GENE_0171	PALB2	720
GENE_0029	GENE_0148	652
GENE_0003	GENE_0085	439
GENE_0108	GENE_0153	795
RECQL	STK11	984
GENE_0133	BRIP1	295
GENE_0086	GENE_0058	868
GENE_0075	GENE_0039	954
GENE_0180	TSC2	752
GENE_0119	GENE_0073	483
BRIP1	GENE_0193	871
GENE_0010	GENE_0153	642
GENE_0116	GENE_0033	369
GENE_0182	GENE_0089	191
GENE_0064	GENE_0158	363
GENE_0110	GENE_0185	632
BRCA2	GENE_0151	598
GENE_0180	GENE_0038	993
GENE_0073	GENE_0076	379
CHEK2	GENE_0161	590
GENE_0102	GENE_0036	201
TSC2	GENE_0095	280
GENE_0039	GENE_0196	929
NBN	GENE_0138	900
GENE_0138	GENE_0146	726
GENE_0075	GENE_0164	714
GENE_0162	GENE_0026	311
GENE_0019	GENE_0022	973
TSC2	GENE_0020	625
GENE_0079	GENE_0092	245
GENE_0130	GENE_0120	755
GENE_0108	BRIP1	432
GENE_0138	GENE_0077	929
GENE_0077	GENE_0034	624
GENE_0036	GENE_0108	398
GENE_0048	GENE_0112	666
GENE_0168	GENE_0170	789
GENE_0067	GENE_0178	268
GENE_0044	GENE_0037	369
GENE_0000	GENE_0023	153
GENE_0132	GENE_0003	808
GENE_0071	GENE_0127	629
GENE_0054	GENE_0056	683
PALB2	GENE_0040	391
GENE_0011	GENE_0077	574
GENE_0025	NF2	890
TSC2	GENE_0090	558
GENE_0136	GENE_0097	155
GENE_0077	GENE_0125	830
GENE_0186	GENE_0013	964
GENE_0094	GENE_0159	399
GENE_0119	GENE_0166	321
GENE_0082	GENE_0150	249
GENE_0199	BRCA2	736
GENE_0023	GENE_0148	627
GENE_0086	GENE_0030	780
GENE_0149	GENE_0027	772
GENE_0085	GENE_0155	237
GENE_0170	GENE_0011	296
GENE_0179	SMAD4	174
GENE_0175	GENE_0193	916
GENE_0179	GENE_0195	463
GENE_0171	GENE_0132	461
EPCAM	GENE_0111	841
GENE_0089	GENE_0066	267
NF1	GENE_0107	979
GENE_0076	GENE_0046	769
GENE_0125	GENE_0131	717
GENE_0065	MEN1	380
GENE_0150	GENE_0162	877
BRIP1	GENE_0123	441
PTEN	GENE_0006	196
GENE_0116	GENE_0037	811
GENE_0187	GENE_0084	455
GENE_0031	GENE_0136	852
NF1	GENE_0078	213
GENE_0080	GENE_0054	263
GENE_0176	GENE_0072	765
GENE_0158	GENE_0120	878
GENE_0093	GENE_0163	558
FANCD2	GENE_0190	432
GENE_0011	GENE_0100	644
GENE_0087	GENE_0051	834
GENE_0171	GENE_0054	757
GENE_0086	GENE_0033	964
GENE_0124	GENE_0008	656
GENE_0112	GENE_0166	451
GENE_0109	GENE_0034	236
GENE_0121	GENE_0028	942
GENE_0079	GENE_0153	765
GENE_0082	ATM	403
APC	MEN1	582
GENE_0198	GENE_0051	886
CDH1	GENE_0190	600
GENE_0173	GENE_0194	607
GENE_0162	GENE_0041	502
GENE_0111	GENE_0041	574
GENE_0047	GENE_0061	383
GENE_0116	GENE_0154	341
GENE_0016	GENE_0097	904
GENE_0070	GENE_0028	986
GENE_0036	GENE_0148	305
BRCA1	GENE_0147	274
GENE_0162	GENE_0133	154
GENE_0086	GENE_0091	929
GENE_0054	GENE_0064	803
GENE_0198	GENE_0038	924
GENE_0136	GENE_0063	977
GENE_0139	GENE_0128	521
SMAD4	GENE_0116	938
GENE_0150	GENE_0031	192
GENE_0068	GENE_0120	198
GENE_0167	GENE_0110	574
GENE_0158	GENE_0155	552
ATM	GENE_0106	444
GENE_0176	FANCD2	729
GENE_0024	GENE_0162	611
GENE_0138	GENE_0120	811
GENE_0195	GENE_0164	246
GENE_0067	GENE_0154	676
STK11	GENE_0059	467
GENE_0047	GENE_0178	877
FANCA	TP53	892
GENE_0178	GENE_0138	172
GENE_0169	GENE_0128	231
GENE_0169	GENE_0149	453
GENE_0073	GENE_0078	365
GENE_0048	GENE_0189	762
GENE_0066	GENE_0033	182
GENE_0017	GENE_0129	370
GENE_0078	GENE_0045	893
GENE_0103	RET	423
GENE_0022	GENE_0170	641
GENE_0134	GENE_0189	922
VHL	GENE_0105	449
GENE_0125	GENE_0058	651
GENE_0104	GENE_0030	281
GENE_0106	GENE_0186	150
GENE_0066	GENE_0092	392
GENE_0141	GENE_0099	986
GENE_0105	BARD1	979
GENE_0047	GENE_0076	715
GENE_0102	BRCA2	370
GENE_0067	GENE_0177	815
GENE_0020	GENE_0182	577
GENE_0098	GENE_0137	598
GENE_0063	GENE_0027	387
GENE_0028	MLH1	429
GENE_0047	GENE_0161	546
GENE_0051	FANCA	961
GENE_0088	GENE_0048	396
GENE_0062	NF2	794
GENE_0174	GENE_0162	653
GENE_0045	GENE_0073	515
GENE_0166	GENE_0017	677
GENE_0190	GENE_0179	544
GENE_0199	GENE_0097	600
GENE_0185	GENE_0186	427
GENE_0122	GENE_0196	503
GENE_0075	GENE_0173	505
GENE_0045	GENE_0160	858
GENE_0140	MLH1	542
GENE_0088	VHL	335
GENE_0187	GENE_0106	181
GENE_0052	BRIP1	287
RECQL	NBN	274
GENE_0011	GENE_0033	442
GENE_0182	GENE_0059	644
GENE_0097	GENE_0038	241
GENE_0066	GENE_0198	593
GENE_0124	GENE_0139	610
GENE_0085	GENE_0069	884
GENE_0007	GENE_0103	613
GENE_0014	GENE_0028	716
GENE_0021	GENE_0193	328
GENE_0090	GENE_0137	878
GENE_0126	GENE_0115	946
GENE_0042	GENE_0122	555
BARD1	GENE_0178	398
GENE_0097	MEN1	595
GENE_0077	GENE_0093	813
GENE_0138	GENE_0121	467
GENE_0152	GENE_0191	475
GENE_0181	GENE_0199	934
RET	GENE_0000	779
GENE_0028	PALB2	937
GENE_0132	GENE_0025	755
GENE_0031	APC	389
APC	GENE_0010	268
CDH1	GENE_0021	982
GENE_0125	GENE_0147	835
GENE_0108	GENE_0028	770
GENE_0101	GENE_0016	384
GENE_0014	GENE_0061	996
VHL	CHEK2	925
VHL	GENE_0177	509
RET	GENE_0028	152
GENE_0096	GENE_0132	906
GENE_0142	GENE_0177	342
GENE_0110	GENE_0100	349
GENE_0096	GENE_0199	532
GENE_0066	GENE_0086	899
GENE_0042	GENE_0161	318
GENE_0041	GENE_0125	903
GENE_0133	GENE_0192	416
GENE_0087	BRIP1	486
GENE_0057	GENE_0024	165
GENE_0058	GENE_0050	747
BRCA1	GENE_0121	559
GENE_0096	VHL	334
GENE_0156	GENE_0080	832
GENE_0076	GENE_0173	824
GENE_0162	GENE_0099	944
BRCA2	GENE_0179	784
GENE_0068	GENE_0131	861
GENE_0000	GENE_0092	180
GENE_0072	BARD1	554
PALB2	GENE_0129	271
BRCA1	GENE_0039	670
CHEK2	GENE_0055	972
GENE_0178	GENE_0119	651
GENE_0004	GENE_0075	518
GENE_0193	GENE_0148	627
GENE_0056	GENE_0163	165
GENE_0196	SMAD4	270
GENE_0076	GENE_0081	272
GENE_0012	GENE_0103	978
GENE_0132	GENE_0058	857
GENE_0110	GENE_0101	760
GENE_0128	GENE_0163	868
GENE_0023	GENE_0103	871
GENE_0191	GENE_0177	878
GENE_0140	STK11	808
GENE_0071	FANCD2	283
GENE_0071	GENE_0190	800
GENE_0110	GENE_0080	652
FANCD2	GENE_0133	578
NF2	GENE_0157	398
GENE_0153	RAD51C	318
GENE_0088	GENE_0113	301
GENE_0163	GENE_0071	376
GENE_0019	ATM	935
PALB2	GENE_0112	488
GENE_0069	GENE_0063	988
GENE_0076	GENE_0129	795
GENE_0149	GENE_0029	203
TSC2	GENE_0167	333
GENE_0053	GENE_0138	491
CHEK2	GENE_0154	973
GENE_0023	GENE_0163	893
GENE_0077	GENE_0052	625
GENE_0037	GENE_0188	888
PTEN	SMAD4	961
GENE_0000	GENE_0037	878
GENE_0126	GENE_0059	375
GENE_0113	CHEK2	353
APC	GENE_0066	281
GENE_0045	GENE_0151	569
GENE_0053	GENE_0025	672
GENE_0135	MSH2	428
RAD51C	APC	265
GENE_0028	GENE_0061	842
GENE_0033	GENE_0170	199
GENE_0045	BRCA1	917
GENE_0155	GENE_0107	618
GENE_0026	GENE_0018	836
GENE_0134	GENE_0183	854
GENE_0123	GENE_0155	982
GENE_0096	CHEK2	464
GENE_0184	GENE_0004	913
GENE_0040	GENE_0030	226
GENE_0094	GENE_0115	843
GENE_0078	GENE_0015	174
APC	GENE_0073	979
GENE_0102	GENE_0122	495
GENE_0075	GENE_0060	763
GENE_0009	GENE_0187	444
GENE_0110	NF1	477
GENE_0076	GENE_0101	706
GENE_0160	GENE_0013	287
GENE_0141	GENE_0157	254
GENE_0137	GENE_0013	808
GENE_0036	GENE_0134	594
GENE_0009	GENE_0095	534
GENE_0154	GENE_0122	800
GENE_0198	GENE_0112	638
GENE_0068	GENE_0189	968
GENE_0165	GENE_0054	307
PTEN	GENE_0098	933
RET	PTEN	853
GENE_0157	GENE_0180	732
GENE_0131	EPCAM	176
GENE_0195	GENE_0032	644
EPCAM	GENE_0146	349
MSH2	GENE_0100	927
GENE_0074	GENE_0035	558
GENE_0072	GENE_0035	825
GENE_0132	GENE_0048	760
GENE_0168	GENE_0151	680
GENE_0176	GENE_0092	637
GENE_0014	GENE_0063	926
GENE_0029	GENE_0020	391
GENE_0153	GENE_0163	649
GENE_0175	GENE_0020	413
GENE_0164	GENE_0048	608
GENE_0026	GENE_0080	410
GENE_0128	GENE_0085	351
GENE_0049	GENE_0089	694
GENE_0131	GENE_0030	515
GENE_0069	GENE_0030	329
GENE_0152	GENE_0064	570
GENE_0042	GENE_0182	667
GENE_0030	GENE_0047	830
GENE_0037	MSH2	259
GENE_0199	GENE_0159	992
GENE_0090	GENE_0048	738
GENE_0193	PALB2	232
GENE_0123	GENE_0073	972
GENE_0199	TSC1	959
GENE_0056	GENE_0142	170
GENE_0084	GENE_0103	333
GENE_0015	GENE_0157	881
GENE_0144	GENE_0084	929
GENE_0197	GENE_0074	510
GENE_0195	GENE_0038	300
GENE_0010	FANCD2	920
GENE_0060	GENE_0172	191
GENE_0020	GENE_0163	676
GENE_0094	GENE_0059	293
GENE_0065	GENE_0142	324
SMAD4	GENE_0027	947
GENE_0171	GENE_0197	156
GENE_0078	GENE_0185	681
GENE_0186	RAD51C	829
GENE_0156	SMAD4	783
MUTYH	GENE_0159	790
GENE_0171	GENE_0118	610
GENE_0139	GENE_0102	451
GENE_0111	GENE_0010	218
GENE_0117	GENE_0132	701
GENE_0031	GENE_0104	999
GENE_0063	GENE_0125	908
GENE_0147	GENE_0071	667
GENE_0181	GENE_0175	539
GENE_0180	GENE_0055	861
GENE_0016	GENE_0189	450
GENE_0041	GENE_0152	270
GENE_0149	SMAD4	921
GENE_0114	SMAD4	322
GENE_0152	GENE_0094	950
RECQL	GENE_0050	721
GENE_0002	GENE_0053	789
GENE_0033	GENE_0059	833
GENE_0161	GENE_0170	853
GENE_0179	GENE_0007	819
GENE_0030	CDH1	724
GENE_0178	GENE_0076	903
GENE_0187	GENE_0003	443
GENE_0135	GENE_0001	539
SMAD4	NF2	520
GENE_0184	GENE_0167	459
GENE_0198	GENE_0168	427
GENE_0041	GENE_0107	628
GENE_0033	GENE_0024	979
GENE_0179	GENE_0081	588
TSC1	GENE_0007	209
FANCA	GENE_0023	470
GENE_0129	MUTYH	862
GENE_0147	GENE_0104	663
GENE_0012	GENE_0010	599
GENE_0155	GENE_0034	346
GENE_0074	GENE_0028	367
GENE_0099	RAD51D	516
GENE_0094	GENE_0012	837
GENE_0113	GENE_0152	170
MEN1	GENE_0181	655
GENE_0155	GENE_0092	872
GENE_0002	GENE_0109	683
GENE_0067	GENE_0069	264
GENE_0023	GENE_0143	603
GENE_0010	GENE_0170	789
GENE_0064	GENE_0143	491
GENE_0191	GENE_0164	703
GENE_0134	GENE_0044	640
GENE_0016	GENE_0175	695
GENE_0127	GENE_0126	468
GENE_0020	GENE_0143	985
GENE_0029	GENE_0056	970
GENE_0154	GENE_0021	449
GENE_0023	GENE_0120	692
GENE_0126	GENE_0007	443
GENE_0191	GENE_0076	631
GENE_0151	GENE_0009	267
STK11	GENE_0199	369
GENE_0015	GENE_0006	592
GENE_0035	GENE_0172	287
MSH2	GENE_0076	743
GENE_0194	GENE_0015	304
GENE_0109	GENE_0042	336
GENE_0006	GENE_0120	825
GENE_0150	GENE_0192	183
RAD51D	GENE_0060	874
GENE_0110	GENE_0107	260
GENE_0195	GENE_0034	300
GENE_0038	MLH1	744
GENE_0189	GENE_0179	815
GENE_0141	GENE_0098	171
GENE_0077	GENE_0194	331
GENE_0013	GENE_0091	846
GENE_0144	GENE_0179	232
GENE_0084	MSH2	275
GENE_0190	GENE_0086	253
GENE_0074	GENE_0196	920
GENE_0022	GENE_0021	959
GENE_0152	GENE_0054	792
GENE_0001	GENE_0188	178
GENE_0125	GENE_0145	948
FANCA	RAD51D	462
GENE_0002	GENE_0158	212
GENE_0067	GENE_0148	944
GENE_0153	GENE_0048	183
GENE_0043	GENE_0040	843
GENE_0106	GENE_0071	274
GENE_0022	GENE_0093	459
GENE_0116	GENE_0187	370
GENE_0051	GENE_0157	942
GENE_0044	GENE_0143	969
GENE_0007	GENE_0133	407
GENE_0030	GENE_0098	825
GENE_0116	GENE_0001	963
GENE_0055	GENE_0068	833
GENE_0152	STK11	761
GENE_0054	BRCA2	897
GENE_0019	GENE_0169	193
GENE_0190	GENE_0138	803
GENE_0083	GENE_0159	332
GENE_0155	GENE_0190	272
GENE_0013	GENE_0199	506
GENE_0112	GENE_0014	228
GENE_0104	GENE_0167	209
GENE_0084	GENE_0116	631
GENE_0031	GENE_0182	292
GENE_0165	GENE_0194	481
GENE_0030	GENE_0096	532
GENE_0132	GENE_0084	859
GENE_0166	NBN	622
GENE_0051	GENE_0060	683
GENE_0119	GENE_0103	543
GENE_0040	GENE_0104	713
GENE_0126	GENE_0100	267
GENE_0145	GENE_0078	711
GENE_0042	GENE_0061	325
RECQL	GENE_0179	895
GENE_0187	GENE_0022	531
BRCA1	GENE_0079	750
GENE_0086	GENE_0019	518
GENE_0090	GENE_0108	302
GENE_0051	GENE_0078	983
GENE_0062	GENE_0131	226
GENE_0029	GENE_0100	760
GENE_0139	GENE_0146	168
GENE_0149	GENE_0199	559
BARD1	GENE_0011	477
GENE_0194	NF2	545
GENE_0184	GENE_0087	186
GENE_0084	GENE_0199	582
GENE_0101	GENE_0023	831
PTEN	GENE_0002	796
GENE_0146	GENE_0134	814
GENE_0175	GENE_0145	776
GENE_0116	GENE_0178	168
GENE_0040	GENE_0102	240
GENE_0117	GENE_0169	831
GENE_0107	GENE_0114	818
GENE_0008	GENE_0009	595
GENE_0184	GENE_0051	889
GENE_0066	GENE_0012	805
GENE_0036	GENE_0177	413
GENE_0189	GENE_0199	840
GENE_0016	GENE_0114	631
GENE_0032	GENE_0070	517
GENE_0164	GENE_0060	408
GENE_0077	GENE_0103	649
GENE_0009	GENE_0119	261
GENE_0127	GENE_0122	466
GENE_0118	RAD51C	449
GENE_0038	GENE_0069	821
GENE_0113	GENE_0103	163
GENE_0170	GENE_0051	712
GENE_0026	EPCAM	169
GENE_0163	GENE_0136	704
GENE_0041	GENE_0031	998
TSC2	GENE_0120	601
GENE_0187	GENE_0199	734
GENE_0188	GENE_0046	337
GENE_0165	GENE_0161	516
GENE_0086	GENE_0188	761
GENE_0155	GENE_0031	744
GENE_0024	GENE_0169	982
GENE_0165	GENE_0182	750
GENE_0142	EPCAM	196
GENE_0150	GENE_0033	481
GENE_0108	GENE_0062	659
APC	GENE_0137	283
GENE_0039	GENE_0125	485
GENE_0139	VHL	383
GENE_0097	GENE_0172	755
GENE_0186	TSC1	332
GENE_0157	GENE_0147	483
GENE_0113	TSC2	319
GENE_0110	GENE_0169	773
EPCAM	GENE_0015	474
GENE_0037	GENE_0065	274
GENE_0160	GENE_0120	642
GENE_0058	GENE_0038	749
GENE_0021	PALB2	626
GENE_0036	GENE_0186	244
GENE_0172	NBN	713
GENE_0074	GENE_0027	274
GENE_0181	GENE_0033	150
GENE_0093	GENE_0177	841
GENE_0080	GENE_0076	857
GENE_0173	GENE_0039	999
GENE_0006	GENE_0070	819
GENE_0067	GENE_0002	212
GENE_0079	GENE_0148	354
GENE_0108	GENE_0024	488
GENE_0080	GENE_0043	875
TP53	GENE_0164	607
GENE_0092	GENE_0159	315
GENE_0043	GENE_0139	584
EPCAM	CHEK2	896
GENE_0102	GENE_0173	822
GENE_0160	RET	999
MUTYH	GENE_0062	627
GENE_0016	GENE_0048	394
GENE_0043	PTEN	890
GENE_0175	GENE_0089	931
PTEN	GENE_0126	186
GENE_0115	GENE_0117	893
GENE_0158	BARD1	766
GENE_0013	GENE_0176	944
GENE_0188	GENE_0102	504
GENE_0081	TSC1	499
GENE_0014	GENE_0142	207
GENE_0137	GENE_0043	758
GENE_0144	GENE_0081	446
GENE_0035	GENE_0104	992
GENE_0153	GENE_0066	321
GENE_0056	GENE_0067	731
GENE_0000	GENE_0081	160
GENE_0198	GENE_0124	949
GENE_0060	GENE_0098	406
GENE_0023	GENE_0040	650
GENE_0010	GENE_0086	693
CDH1	GENE_0124	982
GENE_0175	GENE_0111	755
GENE_0055	GENE_0199	237
GENE_0083	GENE_0057	630
GENE_0081	GENE_0155	319
GENE_0062	GENE_0089	167
GENE_0160	GENE_0118	425
GENE_0151	GENE_0011	220
GENE_0188	GENE_0070	802
GENE_0105	GENE_0056	172
GENE_0066	GENE_0039	229
GENE_0144	FANCA	900
GENE_0016	GENE_0039	543
GENE_0001	GENE_0075	685
GENE_0152	TP53	730
GENE_0126	GENE_0079	618
GENE_0165	GENE_0026	787
GENE_0130	GENE_0070	993
GENE_0155	GENE_0152	957
GENE_0086	GENE_0079	720
GENE_0029	BRIP1	645
GENE_0073	GENE_0126	437
GENE_0081	GENE_0171	541
GENE_0081	GENE_0069	483
GENE_0109	GENE_0073	928
GENE_0067	MLH1	247
GENE_0094	GENE_0000	920
GENE_0186	GENE_0133	987
VHL	GENE_0165	684
GENE_0162	SMAD4	705
GENE_0194	FANCD2	747
GENE_0097	GENE_0006	751
GENE_0106	GENE_0104	633
RECQL	GENE_0128	282
GENE_0125	GENE_0106	631
GENE_0144	GENE_0190	558
GENE_0176	GENE_0195	864
GENE_0044	GENE_0195	187
GENE_0041	GENE_0147	567
GENE_0091	MEN1	570
GENE_0116	RECQL	702
GENE_0076	GENE_0021	753
BRCA1	GENE_0052	994
GENE_0150	GENE_0059	600
GENE_0120	GENE_0101	213
RET	GENE_0106	224
GENE_0113	GENE_0095	555
